cluster	cluster_size	go_term	k_in_cluster	K_in_atlas	cluster_freq	bg_freq	enrichment_ratio	log10_p
1	521	cell differentiation	2	459	0.0038	0.0131	0.29	0.0
1	521	determination of left/right asymmetry in lateral mesoderm	53	128	0.1017	0.0036	27.91	61.96
1	521	negative regulation of alpha-beta T cell differentiation	47	61	0.0902	0.0017	51.93	73.59
1	521	digestive tract development	39	50	0.0749	0.0014	52.57	61.43
1	521	regulation of gene expression	361	1316	0.6929	0.0375	18.49	300.0
1	521	cell development	128	183	0.2457	0.0052	47.15	194.25
1	521	neuronal cell body	2	162	0.0038	0.0046	0.83	0.16
1	521	gene expression	2	124	0.0038	0.0035	1.09	0.26
1	521	response to estradiol	3	57	0.0058	0.0016	3.55	1.28
1	521	cholesterol metabolic process	27	6083	0.0518	0.1732	0.3	-0.0
1	521	endoplasmic reticulum lumen	2	52	0.0038	0.0015	2.59	0.74
1	521	morphogen activity	5	178	0.0096	0.0051	1.89	0.9
1	521	hippocampal mossy fiber to CA3 synapse	2	57	0.0038	0.0016	2.37	0.68
1	521	smooth muscle tissue development	57	214	0.1094	0.0061	17.95	53.83
1	521	positive thymic T cell selection	53	54	0.1017	0.0015	66.15	96.37
1	521	neural tube formation	2	80	0.0038	0.0023	1.69	0.48
1	521	endocytosis	2	19	0.0038	0.0005	7.1	1.5
1	521	bile acid biosynthetic process	27	520	0.0518	0.0148	3.5	7.6
1	521	embryonic digit morphogenesis	60	62	0.1152	0.0018	65.23	107.97
1	521	negative regulation of dopaminergic neuron differentiation	53	54	0.1017	0.0015	66.15	96.37
1	521	striated muscle cell development	133	637	0.2553	0.0181	14.07	113.25
1	521	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	55	57	0.1056	0.0016	65.04	98.65
1	521	heme binding	27	5655	0.0518	0.161	0.32	0.0
1	521	somite development	97	265	0.1862	0.0075	24.67	108.05
1	521	negative regulation of ureter smooth muscle cell differentiation	53	54	0.1017	0.0015	66.15	96.37
1	521	tissue development	72	476	0.1382	0.0136	10.2	49.57
1	521	membrane raft	53	245	0.1017	0.007	14.58	44.84
1	521	response to hypoxia	1	20	0.0019	0.0006	3.37	0.59
1	521	polarity specification of anterior/posterior axis	54	55	0.1036	0.0016	66.18	98.23
1	521	positive regulation of ureter smooth muscle cell differentiation	53	54	0.1017	0.0015	66.15	96.37
1	521	animal organ development	74	351	0.142	0.01	14.21	61.95
1	521	regulation of cell population proliferation	124	413	0.238	0.0118	20.24	126.78
1	521	response to axon injury	2	19	0.0038	0.0005	7.1	1.5
1	521	angiogenesis	2	83	0.0038	0.0024	1.62	0.46
2	332	steroid metabolic process	3	321	0.009	0.0091	0.99	0.23
2	332	nuclear receptor activity	52	205	0.1566	0.0058	26.83	58.38
2	332	positive regulation of cell population proliferation	2	218	0.006	0.0062	0.97	0.21
2	332	sterol 14-demethylase activity	1	2241	0.003	0.0638	0.05	0.0
2	332	long-chain fatty acid omega-hydroxylase activity	238	302	0.7169	0.0086	83.36	300.0
2	332	cellular response to estradiol stimulus	3	368	0.009	0.0105	0.86	0.17
2	332	positive regulation of circadian rhythm	48	72	0.1446	0.0021	70.52	79.89
2	332	negative regulation of miRNA transcription	1	78	0.003	0.0022	1.36	0.28
2	332	androgen receptor signaling pathway	2	86	0.006	0.0024	2.46	0.71
2	332	RNA polymerase II-specific DNA-binding transcription factor binding	2	73	0.006	0.0021	2.9	0.82
2	332	response to steroid hormone	4	23	0.012	0.0007	18.4	4.22
2	332	DNA-templated transcription	62	681	0.1867	0.0194	9.63	41.28
2	332	signal transduction	1	91	0.003	0.0026	1.16	0.24
2	332	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	1	975	0.003	0.0278	0.11	0.0
2	332	membraneless organelle assembly	2	73	0.006	0.0021	2.9	0.82
2	332	negative regulation of gene expression	1	363	0.003	0.0103	0.29	0.01
2	332	centrosome	3	166	0.009	0.0047	1.91	0.68
2	332	enzyme binding	1	350	0.003	0.01	0.3	0.02
2	332	steroid binding	20	1674	0.0602	0.0477	1.26	0.77
2	332	response to cortisol	1	50	0.003	0.0014	2.12	0.42
2	332	positive regulation of vascular endothelial growth factor production	48	77	0.1446	0.0022	65.94	77.69
2	332	positive regulation of integrin biosynthetic process	2	73	0.006	0.0021	2.9	0.82
2	332	positive regulation of cold-induced thermogenesis	1	65	0.003	0.0019	1.63	0.34
2	332	muscle cell differentiation	48	70	0.1446	0.002	72.53	80.85
